,reaction_name,reaction_count,reaction_users_count,message,user_id,channel
52,1,5,"U03V61VGQG0,U03UG4Q7V42,U03UH397319,U03UG569P7U,U03UUS0MZCZ",I suggest that if  the managing team made a share experience session with one of 10 Academy alumni to share his experience on how he manage to deliver the tasks and time management also and what we should do to make the most out of this 3 months,U03V6HMRPGQ,Allchannells
53,100,3,"U03U9DB7REG,U03UJN29Y4C,U03V6HMRPGQ","I think the best thing to do here is to have your own schedule. Everyone has a different attitude and approach toward things. And therefore the Aluminis advice might not be applicable to some and might be even bottom line impossible for others. And therefore I would like to recommend to you based on my imperceptible wisdom to have your own schedule at the beginning of the week. Take a look at that week's challenge doc. see what we are supposed to deliver (on the deliverables section) and after you understand what we need to complete and by when you then plan out the week. Now I think the most important part about the schedule is following it, you might not complete everything on time, and you might finish some before the allotted time frame ends, But for the unfinished tasks don't waste too much unscheduled time on them, as they will definitely take up the other tasks time. So by planning and following your schedule even if you don't complete everything you might manage to get lots done.

Last but not least, don't forget other areas of your life in the meantime. Everyday balance is very necessary and is definitely, at least for me, what constitutes the good life.

Good luck, and Godspeed!",U03UVHCV6KB,Allchannells
54,1,1,U03UJKJGRAQ,"I think the best thing to do here is to have your own schedule. Everyone has a different attitude and approach toward things. And therefore the Aluminis advice might not be applicable to some and might be even bottom line impossible for others. And therefore I would like to recommend to you based on my imperceptible wisdom to have your own schedule at the beginning of the week. Take a look at that week's challenge doc. see what we are supposed to deliver (on the deliverables section) and after you understand what we need to complete and by when you then plan out the week. Now I think the most important part about the schedule is following it, you might not complete everything on time, and you might finish some before the allotted time frame ends, But for the unfinished tasks don't waste too much unscheduled time on them, as they will definitely take up the other tasks time. So by planning and following your schedule even if you don't complete everything you might manage to get lots done.

Last but not least, don't forget other areas of your life in the meantime. Everyday balance is very necessary and is definitely, at least for me, what constitutes the good life.

Good luck, and Godspeed!",U03UVHCV6KB,Allchannells
55,1,1,U03UJKJGRAQ,"I believe that every person has it its own way to approach things, while some routs will not be appropriate for some other will be. And I totally believe that sharing our experience would benefit others like what you did, beside having a diversified experience examples could help you creat your own route. Thank you again for sharing your thoughts and I wish you all the best",U03V6HMRPGQ,Allchannells
56,1,2,"U03UJKJGRAQ,U03V6HMRPGQ","And just to make myself clear the previous message was just a thought and not in any way resistance to the message you were transmitting, on how Aluminis sharing their schedule",U03UVHCV6KB,Allchannells
57,1,1,U03U1FNPEUX,"taken from the data field description file.

you can get the data  here

<https://docs.google.com/spreadsheets/d/1wY7YZwyZ_r_8xMUe_N2ZQled4RjP0_T6/edit#gid=497912695>",U03UVHCV6KB,Allchannells
58,white_check_mark,1,U03V6HMRPGQ,I think aggregation is performed on the UL and DL datum. You simply aggregate or add them and put them in a new column. For example Gaming DL + gaming UL becomes total gaming data. And for the clustering you use k-means. K=3. Ie 3 clusters. You can refer the following for clustering.,U03U1FNPEUX,Allchannells
59,white_check_mark,1,U03V6HMRPGQ,<https://www.analyticsvidhya.com/blog/2021/01/in-depth-intuition-of-k-means-clustering-algorithm-in-machine-learning/|https://www.analyticsvidhya.com/blog/2021/01/in-depth-intuition-of-k-means-clustering-algorithm-in-machine-learning/>,U03U1FNPEUX,Allchannells
60,1,2,"U03U1FQKEMV,U03UJN29Y4C",I think it's how many times the bearer id appeared for the same msisdn number. That's the XDR session per msisdn(or the unique user),U03U1FNPEUX,Allchannells
61,1,2,"U03V6HMRPGQ,U03U1FQKEMV",I considered the MSISDN/Number as a customer id. but it has duplication which indicates the frequency. for example if a user with id 3345 appeared twice in the dataset it mean that it has 2 freq.,U03UJGRN5E0,Allchannells
62,heart,1,U03V6HMRPGQ,"The general idea is, to first group the data by the msisdn/number and then sum/count the values related to a single msisdn/number.",U03UJGRN5E0,Allchannells
63,white_check_mark,1,U03V6HMRPGQ,"<https://www.analyticsvidhya.com/blog/2021/01/in-depth-intuition-of-k-means-clustering-algorithm-in-machine-learning/|https://www.analyticsvidhya.com/blog/2021/01/in-depth-intuition-of-k-means-clustering-algorithm-in-machine-learning/>
Check this out",U03U1FNPEUX,Allchannells
64,100,1,U03V6HMRPGQ,,U03U1FNPEUX,Allchannells
65,white_check_mark,1,U03U1FNPEUX,<!channel> Guidelines from tenx team on github submissions (Please review them): <https://10academy.notion.site/Github-Submissions-d113da4646be47cc924aa669a796b9ee>,U03T89ACUUW,Allchannells
66,white_check_mark,1,U03UD68RQH3,no <@U03UJKJGRAQ> just a different link on the repo,U03UFV7HFNF,Allchannells
67,heavy_check_mark,1,U03UJKJGRAQ,So your project should have different directories or branches for these tasks. If you have a directory or a branch for you dashboard then you submit the link to that directory and the same for the data analysis.,U03U9DB7REG,Allchannells
68,white_check_mark,1,U03V8LHPDME,You will only be encoding features that are going to be fed to your model. The above features are just a unique identifiers which won't be useful for that model that you are going to build.,U03UKL27B0R,Allchannells
69,raised_hands,1,U03UG32J3PC,"something like this can help you.
```df.sort_values(by='column name)', ascending=False)```",U03U9FWPNCE,Allchannells
70,1,1,U03U9FWPNCE,"`df.sort_values('column_name', ascending=False)`",U03UUR571A5,Allchannells
71,1,2,"U03UJGRN5E0,U03UJN29Y4C","If you do, You will get a better clustering of your data",U03UG32J3PC,Allchannells
72,heavy_check_mark,1,U03UJKJGRAQ,"If you do, You will get a better clustering of your data",U03UG32J3PC,Allchannells
73,raised_hands,1,U03UVHCV6KB,<@U03UVHCV6KB>!!!!!!!! Thank you so much! I'll surely go over them.,U03UJN29Y4C,Allchannells
74,raised_hands,1,U03UVHCV6KB,"This is what ive been looking for, thank you guys :raised_hands::skin-tone-4:",U03UJN29Y4C,Allchannells
75,white_check_mark,1,U03UG32J3PC,"Thank very much <@U03UG32J3PC>, I'm still gonna dm though :see_no_evil:",U03UJN29Y4C,Allchannells
76,white_check_mark,1,U03UJGP0C68,You will submit a single Repo. You can use a fit submodule for the dashboard if you want. ,U03UKL27B0R,Allchannells
77,raised_hands,1,U03UVHCV6KB,You are not alone:people_hugging:,U03UG4Q7V42,Allchannells
78,raised_hands,1,U03UVHCV6KB,It just feels you are talking about me! :cry:,U03U9FWPNCE,Allchannells
79,raised_hands,1,U03UVHCV6KB,Same here ,U03V6HMRPGQ,Allchannells
80,heavy_check_mark,1,U03UJKJGRAQ,"Sure, you can include both. ",U03UL5LSTG9,Allchannells
81,100,2,"U03U1FNPEUX,U03TEPYRM2P",May the force be with us. Godspeed everyone.,U03UVHCV6KB,Allchannells
82,heart,7,"U03UFV7HFNF,U03U1HAG9TR,U03UG1RTXAP,U03UJN29Y4C,U03UD4FEDHB,U03UG0YHAUT,U03UG569P7U",Welcome to week 2 everyone. Let's keep up the momentum :rocket:,U03TEPYRM2P,Allchannells
83,raised_hands,5,"U03UJGP0C68,U03UG0YHAUT,U03U9EJR362,U03UD68RQH3,U03UG4Q7V42",Welcome to week 2 everyone. Let's keep up the momentum :rocket:,U03TEPYRM2P,Allchannells
84,boom,1,U03V1AM5TFA,Welcome to week 2 everyone. Let's keep up the momentum :rocket:,U03TEPYRM2P,Allchannells
85,white_check_mark,3,"U03UG1Z21JP,U03UG4Q7V42,U03U1HAG9TR",<https://www.kaggle.com/code/tammyrotem/ab-tests-with-python>,U03U9DB7REG,Allchannells
86,raised_hands,2,"U03UVHCV6KB,U03UG0YHAUT",<https://www.kaggle.com/code/tammyrotem/ab-tests-with-python>,U03U9DB7REG,Allchannells
87,1,1,U03UUMR26Q1,"I hope u'll find everything you need to know :point_up: on the videos
but to wrap it up we've been introduced to the project we're gonna be working on for this week, and a tutorial by Narods on Classical A/B testing.",U03UD68RQH3,Allchannells
88,1,1,U03UUMR26Q1,any time <@U03UUMR26Q1>,U03UD68RQH3,Allchannells
89,1,1,U03UUMR26Q1,which session?,U03UUMR26Q1,Allchannells
90,1,1,U03UUMR26Q1,the tutorial session we're in rn,U03UD68RQH3,Allchannells
91,thinking_face,1,U03UVHCV6KB,How do you choose odd_ratio to run sequential test?,U03UH397319,Allchannells
92,thinking_face,1,U03UVHCV6KB,How did you choose the minimum detectable effect.?,U03UH397319,Allchannells
93,raised_hands,1,U03V6HMRPGQ,"<https://www.omnicalculator.com/statistics/p-value>

this seems helpful, I just skimmed over it",U03UJGP0C68,Allchannells
94,1,1,U03U9DB7REG,<@U03U9DB7REG> The link for hackerrank asks for permission,U03UG32J3PC,Allchannells
95,1,1,U03UG4Q7V42,<@U03UG4Q7V42> thanks now,U03UH397319,Allchannells
96,1,1,U03UKL27B0R,"<@U03UKL27B0R> sorry for the incident . We are two and others did leave the program. Today, I was not able to attend the sessions, and the deputy is somehow busy. I will watch the record. We are working on the challenge although we are too.",U03UG1Z21JP,Allchannells
97,heart,3,"U03V6HMRPGQ,U03UH397319,U03UG1Z21JP","I think you are exactly on the right path my friend. We are all having this struggle brother, I really understand and feel your frustration. I just want you to know that you are not alone. Keep pushing, keeping the end goal in mind.

The obstacle is the way.",U03UVHCV6KB,Allchannells
98,white_check_mark,2,"U03V6HMRPGQ,U03U1HAG9TR","Thank you for expressing your thoughts. However, all the weekly challenges are real time challenges that you might encounter on the job. Here in 10Academy, we train our trainees on solving problems rather than reinventing the wheels. Most of the resources will only equip you with basic understanding of concepts, ability to apply the concept to solve challenges is one of the skills we require you to develop. Also, you should not be limited to the resources provided in the challenge document - you can expand your wings just to get the job done. I will urge to kindly manage your frustration and also reach out to other trainees here when you are having blockers - I know they will be eager to assist.",U03TEPYRM2P,Allchannells
99,pray,1,U03UVHCV6KB,"Thank you for expressing your thoughts. However, all the weekly challenges are real time challenges that you might encounter on the job. Here in 10Academy, we train our trainees on solving problems rather than reinventing the wheels. Most of the resources will only equip you with basic understanding of concepts, ability to apply the concept to solve challenges is one of the skills we require you to develop. Also, you should not be limited to the resources provided in the challenge document - you can expand your wings just to get the job done. I will urge to kindly manage your frustration and also reach out to other trainees here when you are having blockers - I know they will be eager to assist.",U03TEPYRM2P,Allchannells
100,white_check_mark,1,U03V6HMRPGQ,"I understand you concern <@U03V6HMRPGQ>, regardless,  we all need a shoulder to lean on sometimes. You've done well by pushing hard to solve the challenge yourself. However, you can always use the community after exhausting all your trials - this will save you time and energy. Can you specify the issue you are having in the challenge?",U03TEPYRM2P,Allchannells
101,white_check_mark,2,"U03V8LHPDME,U03UJGRN5E0","if it has been edited that only proves my previous thought. It seems like they edited it on purpose, so use the current repo",U03UVHCV6KB,Allchannells
102,raised_hands,1,U03UVHCV6KB,If you've started using two repositories merging your work from the two repos into the one with the least work would be easier. The interim and final submission will be a single link so choose one and continue using that.,U03V8LHPDME,Allchannells
103,raised_hands,3,"U03UVHCV6KB,U03UJGRN5E0,U03UG32J3PC",It was to ease and separate the many functionalities you'll do this week. You can use 2 repositories but if you've not yet created 2 please continue on the single repository.,U03V8LHPDME,Allchannells
104,heart,2,"U03V6HMRPGQ,U03UFV7TUTV",<@U03V6HMRPGQ> thank you for expressing your frustration - this is very helpful for us to grow and address limitations in the training.,U03UUN8M4RX,Allchannells
105,100,2,"U03UVHCV6KB,U03UFV7TUTV","Work simulation  means the problems and resources you are given mirrors what you would get in a real job. Our desire of course is not to mirror 100% of that, but to help you understand the facts while supporting you with active community and tutors, which you won’t have in the real life job. We hope then through this community + tutors support plus a clearly written tasks together with a starting reference in the challenge document, you would be able to get the best of both worlds - solve the problem much quickly than the time it would take you in the real job while practicing the real life scenario.",U03UUN8M4RX,Allchannells
106,heart,1,U03V6HMRPGQ,"Our system is of course not 100% perfect, so we can always improve. In your case, can you share which tasks you were trying to solve and what resources would have been a good reference?",U03UUN8M4RX,Allchannells
107,white_check_mark,1,U03UUN8M4RX,I think for the machine learning part you should use the groups that has more sample.,U03UUR571A5,Allchannells
108,raised_hands,1,U03UVHCV6KB,<https://meet.google.com/ysb-kjdn-hpp>,U03UFV7HFNF,Allchannells
109,raised_hands,1,U03UVHCV6KB,<https://10academy.notion.site/fbb7cd301a7948b698d9953fdeeb414d?v=88c78bae0a42459f8ba07339b44d512b>,U03UFV7HFNF,Allchannells
110,raised_hands,1,U03UVHCV6KB,"<@U03U9DB7REG> for the assignment of ""10 Academy HackerRank Account"" due today. After filling the google form, should we mark as done, or do we need to submit something?",U03UJKJGRAQ,Allchannells
111,raised_hands,1,U03UJKJGRAQ,"nice one, I think we are only supposed to fill in the google form.",U03UVHCV6KB,Allchannells
112,eyes,1,U03UG1Z21JP,"hi, in task 2.2, when splitting the data by browser and platform_os, is this after transforming it (removing rows of non-responsive users) or do we transform it _then_ split it?

also, are we supposed to split the raw data we were provided by browser and platform_os or can we also split aggregates of the raw data, like splitting a dataset the control group and another one containing the exposed group?",U03UD5B7C3X,Allchannells
113,raised_hands,1,U03UVHCV6KB,"hi, in task 2.2, when splitting the data by browser and platform_os, is this after transforming it (removing rows of non-responsive users) or do we transform it _then_ split it?

also, are we supposed to split the raw data we were provided by browser and platform_os or can we also split aggregates of the raw data, like splitting a dataset the control group and another one containing the exposed group?",U03UD5B7C3X,Allchannells
114,1,1,U03UFV7TUTV,"Hello everyone The dvc api might not get you the data you require when you use

data_url = dvc.api.get_url(
    path = path,
    repo = repo,
    rev = version
)

So like <@U03UUR571A5> specified on our call if you're having issues when using multiple versions on DVC specify the data_url manually as we were only using it to get the data from DVC and using it on `pd.read_csv()`. So logging manually should be a quick workaround and use the log_param to output the specific versions. If you're facing any issues send them here!",U03V8LHPDME,Allchannells
115,white_check_mark,1,U03UD68RQH3,or a pip install dvc-gdrive,U03V8LHPDME,Allchannells
116,raised_hands,1,U03UD68RQH3,"Yeah install it with either of these
1. choco install dvc
2. conda install -c conda-forge mamba # installs much faster than conda
     $ mamba install -c conda-forge dvc
3.
```pip install dvc```",U03UGB3T3MY,Allchannells
117,raised_hands,1,U03UVHCV6KB,"Who can explain this am confused 

Task 2, says split ur data by browser and os...., Does it mean to split our data by browser type and OS type and versioning each ...., or just splitting our dataset into two data frames browser and OS??

<@U03V8LHPDME> <@U03UKL27B0R>",U03V5Q9N516,Allchannells
118,raised_hands,2,"U03UVHCV6KB,U03V61VGQG0","You will be creating a separate dataset, one grouped by browser and the other by platform and so on then track them separately using DVC.",U03UKL27B0R,Allchannells
119,raised_hands,1,U03UVHCV6KB,windows 10 but I dev environment is wsl2,U03UD68RQH3,Allchannells
120,fire,1,U03V8LHPDME,"the actual data is not stored on GitHub. in fact when you use dvc push it automatically put the data path into .gitignore file so that the data will not be pushed into the GitHub.
so basically what is saved in GitHub is only the metadata of the different versions of the actual data.
I hope I clarify it.",U03UFV7HFNF,Allchannells
121,1,2,"U03UFV7TUTV,U03UJN29Y4C","I definitely caused some confusion so to clear things up --

From a fresh setup, you start off with these commands by initializing a git and a DVC repository
```git init
dvc init
git commit -m ""initial commit""```
You then follow on to set the DVC remote -- this is the MOST crucial step and should be done first because messing with different remotes and then tracking the changes on multiple unsynchronized remotes will lead to unnecessary complications as we saw.
```dvc remote add -d myremote <gdrive://folderid>
git commit -m ""sets dvc remote""```
the remote URL can be in your local file system but using google drive will be really helpful for collaboration as you are working in teams. Please follow this <https://dvc.org/doc/user-guide/setup-google-drive-remote|link> to learn more.

After this will follow the steps where you will actually track the data.
```dvc add path_to_data
git add path_to_data.dvc
git commit -m ""data:track""```
You then tag the specific commit and then push it to your DVC remote using `dvc push`
```git tag -a 'v1' -m ""raw data""
dvc push```
The final two steps are the only steps that are necessary and the steps you'll iterate over and over once DVC and your DVC remote are set and you start making changes to your data.",U03V8LHPDME,Allchannells
122,slightly_smiling_face,1,U03UVHCV6KB,"For the second - I believe that we're hitting the gap between school with this approach.  If your manager gives you a task to get done, do you expect him-her to guide you on how to do every step of it?",U03U93GNNVB,Allchannells
123,white_check_mark,3,"U03UJGP0C68,U03UG4Q7V42,U03UFV7HFNF","`SELECT COUNTRY.Continent, FLOOR(AVG(CITY.Population))`
`From COUNTRY`
`INNER JOIN CITY`
`ON CITY.CountryCode = COUNTRY.Code`
`GROUP BY COUNTRY.Continent;`",U03UD68RQH3,Allchannells
124,heavy_check_mark,1,U03UJKJGRAQ,"`SELECT COUNTRY.Continent, FLOOR(AVG(CITY.Population))`
`From COUNTRY`
`INNER JOIN CITY`
`ON CITY.CountryCode = COUNTRY.Code`
`GROUP BY COUNTRY.Continent;`",U03UD68RQH3,Allchannells
125,sob,1,U03U9FWPNCE,im having the same issue,U03UJGP0C68,Allchannells
126,1,1,U03U9FWPNCE,ok thanks bro,U03UJGP0C68,Allchannells
127,white_check_mark,1,U03UUR571A5,thanks for help bro! u did everything!,U03UJH1EQQL,Allchannells
128,white_check_mark,1,U03UG1Z21JP,"try uninstalling pathlib
`pip uninstall pathlib`

uninstall dvc and reinstall the version fish stated",U03V8LHPDME,Allchannells
129,raised_hands,1,U03UVHCV6KB,:rolling_on_the_floor_laughing: wrong channel but im addicted too:triumph:,U03UG4Q7V42,Allchannells
130,cry,1,U03UVHCV6KB,not yet..am trying from scratch again!,U03UJH1EQQL,Allchannells
131,1,1,U03UVHCV6KB,Thanks <@U03UVHCV6KB>,U03UAKATQ22,Allchannells
132,1,1,U03V6HMRPGQ,We also choose yes as the target variable and for the loss functions we choose <https://machinelearningmastery.com/how-to-choose-loss-functions-when-training-deep-learning-neural-networks/#Binary%20Classification%20Loss%20Functions|https://machinelearningmastery.com/how-to-choose-loss-functions-when-training-deep-learning-neural-networks/#Binary%20Classific[…]20Loss%20Functions>,U03UVHCV6KB,Allchannells
133,1,1,U03V6HMRPGQ,Mean squared error might be a good loss function for classification problem <@U03V6HMRPGQ>. Please have a look at list of loss function for the current problem. Resource shared by <@U03UVHCV6KB> is also great.,U03UKL27B0R,Allchannells
134,raised_hands,2,"U03UVHCV6KB,U03V6HMRPGQ",Please just do your best,U03U93GNNVB,Allchannells
135,pray,5,"U03U1FNPEUX,U03UG1RTXAP,U03UFV7TUTV,U03UG4Q7V42,U03UG5VFN03","Hello dears, how is your day?  Thanks to God we did it. Nice to see you here in week3 guys. Whish you best for the rest of your journey.
BTW don't we have meeting in google today. I don't see any link. I you see Please share me.",U03UGB3T3MY,Allchannells
136,1,1,U03UUMR26Q1,"Hello dears, how is your day?  Thanks to God we did it. Nice to see you here in week3 guys. Whish you best for the rest of your journey.
BTW don't we have meeting in google today. I don't see any link. I you see Please share me.",U03UGB3T3MY,Allchannells
137,1,1,U03U9FWPNCE,This week is individual work,U03UP7V9Q57,Allchannells
